Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP
1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79
1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7
1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7
1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51
1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74
1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06
1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74
1;17;2;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06
1;1;1;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74
1;1;1;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92
1;1;3;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02
1;18;4;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7
1;1;4;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7
1;1;4;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02
1;1;1;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02
1;1;1;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32
1;17;2;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92
1;1;1;9085;1;1;138.0;1;19;19;3;3;131.0;1;0;0;1;0;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12
1;1;1;9147;1;1;135.0;1;19;1;9;9;122.1;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92
1;17;2;9500;1;1;127.0;1;3;3;1;10;118.8;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92
1;44;1;9003;1;39;150.0;1;4;5;4;2;150.0;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92
1;51;1;9070;1;1;125.0;1;42;3;125;124;130.0;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51
1;1;1;9147;1;1;143.0;1;1;1;4;6;138.8;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51
1;18;1;8014;0;1;138.0;1;19;1;9;5;134.5;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79
1;1;1;9991;0;1;130.0;1;2;37;3;9;131.4;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79
1;39;1;33;1;1;130.0;1;38;37;9;6;102.5;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51
1;39;1;9119;1;10;133.1;1;34;37;0;0;128.8;1;0;0;1;1;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32
1;43;1;9147;1;1;140.0;1;37;37;6;6;122.9;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92
4;39;1;9991;0;1;120.0;1;19;19;9;3;113.9;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32
1;44;1;9130;1;39;120.0;6;4;4;3;6;120.0;0;0;1;0;0;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79
1;1;5;9773;1;1;126.0;1;3;3;2;2;121.1;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7
1;1;2;9147;1;1;133.0;1;3;19;2;7;120.4;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51
1;1;6;9500;1;1;103.0;1;1;3;2;2;100.6;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02
1;17;1;9773;1;1;120.0;1;1;38;5;5;121.4;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79
1;39;1;9991;0;1;133.1;1;37;37;9;9;109.7;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92
1;17;1;9991;0;1;154.0;1;38;38;4;5;134.1;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32
1;17;2;9238;1;1;130.0;1;19;19;9;9;127.6;1;0;0;1;0;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02
1;17;6;9500;1;1;132.0;1;37;19;7;7;132.4;1;0;0;1;0;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02
1;44;1;8014;0;39;130.0;1;1;19;9;9;133.4;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79
1;1;1;9238;1;1;139.0;1;37;38;9;9;126.1;0;0;0;1;0;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7
1;39;1;9254;1;1;130.0;1;19;38;9;7;113.5;0;0;0;1;0;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79
1;1;1;9500;1;1;139.0;1;37;38;6;6;121.3;1;0;0;1;0;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12
1;1;1;9773;1;1;127.0;1;1;19;7;7;121.8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12
1;1;3;9130;1;1;167.0;1;37;37;90;90;159.3;0;0;0;1;0;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32
1;39;1;9991;0;1;130.0;1;38;38;9;9;120.0;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12
1;1;1;9500;1;1;130.0;1;1;19;5;5;129.1;1;0;0;1;0;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06
2;7;1;9254;1;3;130.0;1;1;3;4;3;130.0;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79
1;39;1;9130;1;40;129.0;1;3;3;2;2;155.3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79
1;17;1;9500;1;1;141.0;1;38;38;7;10;139.8;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12
1;1;3;171;1;1;125.0;1;38;37;4;9;115.2;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32
1;1;2;9500;1;1;125.0;1;19;19;9;9;114.9;0;0;0;1;0;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92
1;44;1;9238;1;39;130.0;1;19;1;9;9;131.9;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79
1;17;3;171;1;1;133.0;1;1;37;4;7;126.0;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74
1;17;1;9070;1;1;127.0;1;1;1;3;4;130.2;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74
1;43;1;9070;1;1;116.0;1;1;1;3;3;120.9;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7
4;42;1;9500;1;19;133.1;1;1;1;5;5;126.0;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79
1;1;3;171;1;1;139.0;1;19;19;5;3;128.2;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74
1;44;1;9003;1;39;130.0;1;19;37;9;9;130.0;1;0;0;1;1;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51
1;1;3;9147;1;1;125.0;1;1;38;7;7;120.1;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92
1;39;1;9254;1;1;160.0;1;19;37;7;10;100.0;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7
1;17;1;9147;1;1;148.0;1;38;37;5;5;134.0;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32
1;17;1;9500;1;1;150.0;1;37;19;8;4;130.8;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79
1;1;1;171;1;1;141.0;1;19;19;5;10;135.8;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06
1;17;4;9254;1;1;118.0;1;38;37;5;7;111.7;1;0;0;1;1;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79
1;1;2;9773;1;1;142.0;1;38;38;9;9;132.9;1;0;0;1;1;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74
1;17;3;9147;1;1;120.0;1;19;19;4;7;115.5;1;0;1;1;1;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74
1;18;4;9254;1;1;106.0;1;19;37;7;7;106.0;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12
1;17;4;9773;1;1;121.0;1;1;19;9;8;120.3;1;0;1;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51
1;17;4;9500;1;1;150.0;1;38;37;9;9;130.8;0;0;0;1;1;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92
2;39;1;8014;0;1;120.0;1;37;37;9;6;117.0;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74
1;1;6;9853;1;1;114.0;1;19;19;9;9;110.2;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74
1;39;1;9991;0;2;140.0;1;3;3;2;2;155.7;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74
1;39;1;9003;1;4;160.0;1;3;3;4;2;180.4;0;0;1;1;1;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79
1;17;1;9254;1;1;120.0;1;19;19;4;4;125.5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7
2;39;1;8014;0;1;130.0;1;37;37;9;6;110.0;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12
1;42;1;9500;1;1;160.0;1;37;38;9;7;161.0;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74
1;39;1;9670;1;1;120.0;1;1;19;4;5;100.0;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12
1;17;1;9070;1;1;124.0;1;19;38;4;0;117.6;1;0;0;1;1;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32
1;1;6;9147;1;1;143.0;1;38;37;9;9;128.7;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02
1;43;2;9119;1;1;115.0;1;38;19;9;6;112.2;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06
1;39;1;9500;1;1;133.1;1;1;1;4;10;100.8;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79
1;17;2;9773;1;1;133.1;41;19;1;9;9;105.0;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51
1;15;1;9130;1;1;133.1;41;1;1;4;4;100.0;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51
2;39;1;9853;1;10;133.1;1;37;34;0;0;115.5;0;0;0;1;0;0;39;0;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;7.6;2.6;0.32
2;39;1;8014;0;1;133.1;1;37;19;9;9;114.0;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7
1;15;1;9119;1;1;130.0;26;38;3;9;2;137.0;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79
1;1;5;9773;1;1;135.0;1;37;1;5;5;124.9;1;0;0;1;0;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51
1;1;5;9500;1;1;132.0;1;37;37;7;7;120.3;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79
1;1;1;9085;1;1;135.0;1;1;2;9;1;134.3;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7
1;1;4;9500;1;1;115.0;1;3;3;2;2;111.5;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79
